,is_movie,release_year,year_added,month_added,duration_num,rating_num
505,1,2018,2019,1,102,14.0
506,1,2008,2020,6,106,14.0
507,1,1994,2020,5,160,14.0
508,1,2018,2018,12,137,14.0
509,1,2020,2020,11,171,14.0
510,1,2020,2020,11,171,14.0
511,1,2020,2020,12,104,10.0
512,1,2020,2020,8,95,14.0
513,1,2015,2018,12,90,17.0
514,1,2017,2018,7,128,14.0
515,0,2014,2019,4,60,14.0
516,0,2010,2019,7,60,10.0
517,1,2001,2020,9,103,17.0
518,1,2019,2020,4,121,17.0
521,1,2009,2020,12,139,13.0
522,1,2003,2019,11,105,13.0
524,1,2015,2017,3,104,18.0
525,1,2020,2020,3,162,14.0
526,1,2018,2020,9,157,14.0
527,1,2019,2019,6,15,10.0
529,1,2018,2018,9,130,18.0
530,1,2018,2019,1,88,18.0
531,0,2020,2020,12,60,18.0
532,1,2014,2018,10,146,14.0
533,0,2018,2018,12,60,14.0
534,0,2018,2018,5,60,14.0
535,1,2015,2015,10,64,14.0
536,1,2013,2020,9,104,10.0
537,1,2013,2017,10,127,14.0
538,1,2016,2017,8,92,10.0
539,0,2019,2020,1,180,10.0
540,0,2011,2019,7,60,14.0
541,1,2018,2018,5,100,18.0
542,1,2016,2017,3,72,10.0
543,0,2019,2019,7,60,18.0
544,0,2016,2019,10,60,18.0
545,0,2019,2019,6,60,18.0
546,1,2018,2019,1,118,13.0
547,1,2017,2019,5,110,18.0
549,0,2018,2021,1,300,10.0
550,1,2019,2019,4,64,18.0
551,1,2015,2015,10,59,18.0
552,1,2006,2018,7,122,14.0
553,1,2018,2019,4,90,18.0
554,1,2019,2019,3,60,10.0
555,1,2007,2019,12,134,14.0
557,1,2017,2019,11,89,18.0
558,0,2019,2019,8,60,18.0
559,0,2016,2017,9,60,18.0
560,1,2005,2021,1,161,14.0
562,1,2011,2019,3,87,13.0
563,1,2018,2018,10,130,18.0
564,1,2015,2017,10,107,10.0
565,0,2016,2017,6,120,18.0
566,1,2016,2017,5,80,18.0
567,1,2015,2017,2,79,14.0
568,1,2018,2018,1,62,18.0
569,0,2019,2019,12,60,10.0
571,1,2019,2020,5,93,10.0
572,1,2016,2017,4,81,14.0
573,1,2018,2019,8,87,14.0
574,0,2014,2020,12,120,14.0
575,0,2020,2020,1,60,18.0
576,0,2017,2017,11,60,18.0
